,Unnamed: 0,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
96,96,Josh Giddey,14.6,8.1,7.2,1.2,0.6,2.9,0.465,0.378,22.0,PG,69.0,5.0,3.0,2.7,0.121,"8,352,367"
97,97,Jakob Poeltl,14.5,9.6,2.8,1.2,1.2,1.9,0.627,0.333,29.0,C,56.0,10.0,2.0,1.7,0.158,"19,500,000"
98,98,Deandre Ayton,14.4,10.2,1.6,0.8,1.0,1.7,0.566,0.188,26.0,C,40.0,8.0,-0.7,0.4,0.113,"34,005,126"
99,99,Gradey Dick,14.4,3.6,1.8,0.9,0.2,1.5,0.41,0.35,21.0,SG,54.0,3.0,-3.2,-0.5,0.042,"4,763,543"
100,100,Jerami Grant,14.4,3.5,2.1,0.9,1.0,1.4,0.373,0.365,30.0,PF,47.0,12.0,-1.6,0.1,0.057,"29,793,104"
101,101,Payton Pritchard,14.3,3.8,3.5,0.9,0.2,1.0,0.472,0.407,27.0,PG,3.0,6.0,3.5,3.2,0.183,"6,696,429"
102,102,Naz Reid,14.2,6.0,2.3,0.7,0.9,1.4,0.462,0.379,25.0,C,17.0,7.0,1.6,2.0,0.125,"13,986,432"
103,103,Dyson Daniels,14.1,5.9,4.4,3.0,0.7,2.0,0.493,0.34,21.0,SG,76.0,4.0,1.5,2.3,0.093,"6,059,520"
104,104,Tre Mann,14.1,2.9,3.0,0.5,0.3,1.9,0.435,0.4,23.0,PG,0.0,5.0,-2.4,0.0,0.019,"4,908,373"
105,105,Amen Thompson,14.1,8.2,3.8,1.4,1.3,2.0,0.557,0.275,22.0,SF,42.0,3.0,4.1,3.4,0.172,"9,249,748"
106,106,Fred VanVleet,14.1,3.7,5.6,1.6,0.4,1.5,0.378,0.345,30.0,PG,60.0,10.0,0.9,1.5,0.119,"42,846,615"
107,107,Dillon Brooks,14.0,3.7,1.7,0.8,0.2,1.0,0.429,0.397,29.0,SF,75.0,9.0,-1.4,0.4,0.103,"23,255,493"
108,108,Tolu Smith,14.0,8.0,0.0,0.0,0.0,2.0,0.667,,24.0,PF,0.0,2.0,-8.9,0.0,0.128,"315,280"
109,109,Klay Thompson,14.0,3.4,2.0,0.7,0.4,1.2,0.412,0.391,34.0,SF,72.0,15.0,-1.0,0.5,0.045,"15,873,016"
110,110,Bobby Portis,13.9,8.4,2.1,0.7,0.5,1.2,0.466,0.365,29.0,PF,7.0,11.0,0.2,0.7,0.106,"12,578,286"
111,111,Tobias Harris,13.7,5.9,2.2,1.0,0.8,1.2,0.477,0.345,32.0,PF,73.0,15.0,0.1,1.2,0.108,"25,365,854"
112,112,Josh Hart,13.6,9.6,5.9,1.5,0.4,2.1,0.525,0.333,29.0,SG,77.0,9.0,2.8,3.6,0.153,"18,144,000"
113,113,Jarrett Allen,13.5,9.7,1.9,0.9,0.9,1.2,0.706,0.0,26.0,C,82.0,9.0,4.2,3.6,0.243,"20,000,000"
114,114,Onyeka Okongwu,13.4,8.9,2.3,0.9,0.9,1.2,0.567,0.324,24.0,C,40.0,6.0,1.3,1.7,0.168,"14,000,000"
115,115,Naji Marshall,13.2,4.8,3.0,1.0,0.2,1.6,0.508,0.275,27.0,SF,31.0,6.0,-0.8,0.6,0.087,"8,571,429"
116,116,Dennis Schröder,13.1,2.6,5.4,0.9,0.2,1.9,0.406,0.342,31.0,PG,49.0,13.0,-2.2,-0.1,0.073,"13,025,250"
117,117,Rui Hachimura,13.1,5.0,1.4,0.8,0.4,0.8,0.509,0.413,26.0,PF,57.0,7.0,-0.7,0.6,0.11,"17,000,000"
118,118,Brook Lopez,13.0,5.0,1.8,0.6,1.9,1.1,0.509,0.373,36.0,C,80.0,18.0,0.8,1.8,0.124,"23,000,000"
119,119,Alex Sarr,13.0,6.5,2.4,0.7,1.5,1.7,0.394,0.308,19.0,C,67.0,2.0,-3.3,-0.6,-0.007,"11,245,680"
120,120,Moritz Wagner,12.9,4.9,1.4,0.8,0.4,1.6,0.562,0.36,27.0,C,1.0,8.0,4.0,0.9,0.174,"11,000,000"
121,121,Malcolm Brogdon,12.7,3.8,4.1,0.5,0.2,1.6,0.433,0.286,32.0,PG,13.0,10.0,-1.5,0.1,0.061,"22,500,000"
122,122,Scoot Henderson,12.7,3.0,5.1,1.0,0.2,2.7,0.419,0.354,20.0,PG,10.0,3.0,-2.2,-0.1,0.049,"10,259,449"
123,123,Keldon Johnson,12.7,4.8,1.6,0.6,0.3,1.0,0.482,0.318,25.0,SF,0.0,7.0,-1.6,0.2,0.083,"19,000,000"
124,124,D'Angelo Russell,12.6,2.8,5.1,1.0,0.4,1.9,0.39,0.314,28.0,PG,36.0,11.0,-0.4,0.6,0.063,"18,692,307"
125,125,Santi Aldama,12.5,6.4,2.9,0.8,0.4,1.1,0.483,0.368,24.0,PF,16.0,5.0,3.2,2.2,0.144,"3,960,531"
126,126,Ty Jerome,12.5,2.5,3.4,1.1,0.0,1.3,0.516,0.439,27.0,SG,3.0,7.0,4.3,2.2,0.204,"2,560,975"
127,127,Keegan Murray,12.4,6.7,1.4,0.8,0.9,0.8,0.444,0.343,24.0,PF,76.0,4.0,-1.6,0.2,0.082,"8,809,560"
128,128,Lonnie Walker IV,12.4,3.2,2.5,0.5,0.3,1.3,0.42,0.354,26.0,SG,7.0,8.0,-2.4,0.0,0.033,"780,932"
129,129,Harrison Barnes,12.3,3.8,1.7,0.5,0.2,0.6,0.508,0.433,32.0,PF,82.0,14.0,0.0,1.2,0.12,"18,000,000"
130,130,Bilal Coulibaly,12.3,5.0,3.4,1.3,0.7,2.1,0.421,0.281,20.0,SF,59.0,3.0,-3.7,-0.8,0.008,"6,945,240"
131,131,Ayo Dosunmu,12.3,3.5,4.5,0.9,0.4,1.5,0.492,0.328,25.0,SG,26.0,5.0,-1.6,0.1,0.087,"7,000,000"
132,132,Daniel Gafford,12.3,6.8,1.4,0.4,1.8,1.2,0.702,,26.0,C,31.0,7.0,3.8,1.8,0.232,"13,394,160"
133,133,Jaden McDaniels,12.2,5.7,2.0,1.3,0.9,1.2,0.477,0.33,24.0,PF,82.0,6.0,0.0,1.4,0.115,"22,586,207"
134,134,Jabari Smith Jr.,12.2,7.0,1.1,0.4,0.7,1.1,0.438,0.354,21.0,PF,39.0,4.0,-0.7,0.6,0.117,"9,770,880"
135,135,Caris LeVert,12.1,3.2,3.4,0.9,0.5,1.2,0.467,0.373,30.0,SG,3.0,10.0,0.9,1.2,0.119,"16,615,384"
136,136,Drew Timme,12.1,7.2,2.2,0.4,0.1,1.7,0.441,0.257,24.0,PF,2.0,2.0,-6.7,-0.3,0.009,"113,055"
137,137,Tari Eason,12.0,6.4,1.5,1.7,0.9,1.1,0.487,0.342,23.0,PF,16.0,4.0,3.6,2.0,0.169,"3,695,160"
138,138,Rudy Gobert,12.0,10.9,1.8,0.8,1.4,1.2,0.669,,32.0,C,72.0,13.0,1.9,2.4,0.204,"43,827,586"
139,139,Aaron Nesmith,12.0,4.0,1.2,0.8,0.4,0.8,0.507,0.431,25.0,SF,37.0,6.0,-0.5,0.4,0.126,"11,000,000"
140,140,Aaron Wiggins,12.0,3.9,1.8,0.8,0.2,0.9,0.488,0.383,26.0,SG,26.0,5.0,1.1,1.4,0.148,"10,981,303"
141,141,Khris Middleton,11.9,3.7,4.1,0.9,0.2,1.5,0.475,0.361,33.0,SF,21.0,14.0,0.7,0.6,0.116,"31,000,000"
142,142,Jalen Duren,11.8,10.3,2.7,0.7,1.1,1.7,0.692,,21.0,C,78.0,4.0,3.1,2.7,0.218,"4,536,840"
143,143,Donte DiVincenzo,11.7,3.7,3.6,1.2,0.3,1.6,0.422,0.397,28.0,SG,10.0,8.0,1.9,1.6,0.115,"11,445,000"
144,144,Corey Kispert,11.6,3.0,1.7,0.4,0.2,1.0,0.451,0.364,25.0,SF,0.0,5.0,-3.7,-0.7,0.032,"5,705,887"
145,145,Jeremy Sochan,11.4,6.5,2.4,0.8,0.5,1.6,0.535,0.308,21.0,PF,23.0,4.0,-1.2,0.3,0.096,"5,570,040"
146,146,Toumani Camara,11.3,5.8,2.2,1.5,0.6,1.4,0.458,0.375,24.0,PF,78.0,3.0,-0.1,1.2,0.097,"1,891,857"
147,147,Isaiah Hartenstein,11.2,10.7,3.8,0.8,1.1,1.7,0.581,0.0,26.0,C,53.0,8.0,3.2,2.1,0.205,"30,000,000"
148,148,Buddy Hield,11.1,3.2,1.6,0.8,0.3,1.1,0.417,0.37,32.0,SG,22.0,10.0,-1.0,0.5,0.073,"8,780,488"
149,149,Jrue Holiday,11.1,4.3,3.9,1.1,0.4,1.2,0.443,0.353,34.0,PG,62.0,17.0,0.7,1.3,0.13,"30,000,000"
150,150,Walker Kessler,11.1,12.2,1.7,0.6,2.4,1.5,0.663,0.176,23.0,C,58.0,4.0,1.8,1.7,0.149,"2,965,920"
151,151,Gary Trent Jr.,11.1,2.3,1.2,1.0,0.1,0.6,0.431,0.416,26.0,SG,9.0,8.0,-1.6,0.2,0.084,"2,613,120"
152,152,Tim Hardaway Jr.,11.0,2.4,1.6,0.5,0.1,0.6,0.406,0.368,32.0,SG,77.0,13.0,-2.1,0.0,0.077,"16,193,183"
153,153,Duncan Robinson,11.0,2.3,2.4,0.5,0.1,1.2,0.437,0.393,30.0,SF,37.0,8.0,-1.7,0.1,0.071,"19,406,000"
154,154,Brice Sensabaugh,10.9,3.0,1.5,0.6,0.1,1.5,0.459,0.422,21.0,SF,15.0,3.0,-1.2,0.3,0.042,"2,571,030"
155,155,Bogdan Bogdanović,10.8,2.9,2.7,0.8,0.2,1.4,0.427,0.363,32.0,SG,4.0,9.0,-2.0,0.0,0.069,"17,260,000"
156,156,Jordan Hawkins,10.8,2.8,1.2,0.5,0.4,1.0,0.372,0.331,22.0,SG,9.0,3.0,-5.4,-1.2,-0.02,"4,525,706"
157,157,Nikola Jović,10.7,3.9,2.8,0.8,0.3,1.3,0.456,0.371,21.0,PF,10.0,4.0,0.3,0.7,0.104,"2,464,200"
158,158,Grayson Allen,10.6,3.0,2.1,0.8,0.3,1.2,0.448,0.426,29.0,SG,7.0,8.0,-0.3,0.7,0.079,"15,625,000"
159,159,Keon Johnson,10.6,3.8,2.2,1.0,0.4,1.5,0.389,0.314,22.0,SG,56.0,5.0,-3.3,-0.6,0.014,"19,000,000"
160,160,Terry Rozier,10.6,3.7,2.6,0.6,0.2,1.2,0.391,0.295,30.0,PG,23.0,11.0,-3.7,-0.7,0.029,"24,924,126"
161,161,Obi Toppin,10.5,4.0,1.6,0.6,0.4,0.9,0.529,0.365,26.0,PF,4.0,6.0,1.7,1.4,0.135,"12,975,000"
162,162,Jonas Valančiūnas,10.4,7.7,2.0,0.5,0.6,1.5,0.55,0.216,32.0,C,21.0,14.0,0.6,1.0,0.137,"9,900,000"
163,163,Ochai Agbaji,10.4,3.8,1.5,0.9,0.5,0.8,0.498,0.399,24.0,SG,45.0,4.0,-0.7,0.5,0.087,"4,310,280"
164,164,Jaylen Wells,10.4,3.4,1.7,0.6,0.1,0.9,0.425,0.352,21.0,SG,74.0,2.0,-2.2,-0.1,0.083,"1,157,153"
165,165,Grant Williams,10.4,5.1,2.3,1.1,0.8,1.8,0.439,0.365,26.0,PF,7.0,7.0,-1.6,0.1,0.071,"13,025,250"
166,166,Kevin Porter Jr.,10.3,3.7,3.4,1.1,0.2,1.8,0.449,0.311,24.0,SG,4.0,7.0,-0.6,0.5,0.072,"2,237,691"
167,167,Kevin Porter Jr.,10.3,3.7,3.4,1.1,0.2,1.8,0.449,0.311,24.0,SG,4.0,7.0,-0.6,0.5,0.072,"1,000,000"
168,168,Jose Alvarado,10.3,2.4,4.6,1.3,0.3,1.5,0.392,0.359,26.0,PG,23.0,5.0,-1.4,0.2,0.043,"1,988,598"
169,169,Nic Claxton,10.3,7.4,2.2,0.9,1.4,1.2,0.563,0.238,25.0,C,62.0,7.0,0.4,1.1,0.11,"27,556,817"
170,170,Herbert Jones,10.3,3.9,3.3,1.9,0.5,1.8,0.436,0.306,26.0,SF,20.0,5.0,-3.6,-0.3,0.033,"12,976,362"
