,Player,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,Age,Pos,GS,YOE,BPM,VORP,WS/48,Salary
3272,Michael Carter-Williams,8.8,4.5,4.2,0.8,0.5,2.2,0.389,0.246,29.0,SG,25.0,9.0,-4.8,-0.6,-0.028,"3,927,000"
3273,Danuel House Jr.,8.8,3.7,1.9,0.6,0.4,1.0,0.404,0.346,27.0,SF,23.0,6.0,-3.5,-0.3,0.026,"4,423,230"
3274,Jay Scrubb,8.8,3.5,0.3,1.0,0.0,1.8,0.389,0.222,20.0,SG,1.0,2.0,-10.9,-0.2,-0.072,"534,446"
3275,George Hill,8.7,2.0,2.4,0.8,0.2,1.0,0.482,0.388,34.0,PG,17.0,14.0,-1.2,0.1,0.1,"11,412,816"
3276,Terence Davis,8.7,2.5,1.4,0.7,0.2,1.0,0.428,0.367,23.0,SG,4.0,3.0,-1.7,0.1,0.038,"1,806,397"
3277,Raul Neto,8.7,2.4,2.3,1.1,0.1,0.8,0.468,0.39,28.0,PG,22.0,7.0,-0.6,0.5,0.097,"2,240,611"
3278,Isaiah Roby,8.7,5.6,1.8,0.9,0.6,1.9,0.483,0.294,22.0,PF,34.0,3.0,-3.3,-0.5,0.043,"1,806,397"
3279,Dario Šarić,8.7,3.8,1.3,0.6,0.1,1.1,0.447,0.348,26.0,C,4.0,6.0,-2.0,0.0,0.093,"11,007,500"
3280,Moses Brown,8.6,8.9,0.2,0.7,1.1,1.0,0.545,,21.0,C,32.0,3.0,-2.4,-0.1,0.138,"1,487,500"
3281,T.J. McConnell,8.6,3.7,6.6,1.9,0.3,2.0,0.559,0.313,28.0,PG,3.0,7.0,1.4,1.5,0.128,"4,165,000"
3282,Jakob Poeltl,8.6,7.9,1.9,0.7,1.8,1.2,0.616,,25.0,C,51.0,6.0,0.8,1.3,0.148,"9,641,203"
3283,Ricky Rubio,8.6,3.3,6.4,1.4,0.1,1.6,0.388,0.308,30.0,PG,51.0,11.0,-1.9,0.0,0.085,"20,230,000"
3284,Svi Mykhailiuk,8.5,2.5,1.7,0.8,0.2,1.3,0.411,0.334,23.0,SF,14.0,4.0,-2.6,-0.2,0.01,"1,979,994"
3285,Robert Covington,8.5,6.7,1.7,1.4,1.2,0.9,0.401,0.379,30.0,PF,70.0,9.0,0.2,1.2,0.08,"14,444,630"
3286,Gabriel Deck,8.4,4.0,2.4,0.8,0.0,0.6,0.478,0.133,25.0,PF,0.0,2.0,-0.4,0.1,0.12,"4,605,740"
3287,James Ennis III,8.4,4.0,1.5,0.8,0.2,0.9,0.473,0.433,30.0,SF,37.0,8.0,-2.2,-0.1,0.097,"3,927,000"
3288,Cameron Payne,8.4,2.4,3.6,0.6,0.3,1.0,0.484,0.44,26.0,PG,1.0,7.0,3.1,1.4,0.158,"2,352,643"
3289,Luke Kennard,8.3,2.6,1.7,0.4,0.1,0.8,0.476,0.446,24.0,SG,17.0,5.0,-0.2,0.6,0.105,"6,275,852"
3290,Cory Joseph,8.2,2.5,3.4,1.0,0.3,1.3,0.469,0.341,29.0,PG,13.0,11.0,-1.8,0.1,0.069,"14,994,000"
3291,Sterling Brown,8.2,4.4,1.4,0.7,0.2,0.8,0.448,0.423,25.0,SG,14.0,5.0,-1.6,0.1,0.071,"1,997,836"
3292,Nicolas Batum,8.1,4.7,2.2,1.0,0.6,0.8,0.464,0.404,32.0,SF,38.0,14.0,2.1,1.9,0.132,"10,761,738"
3293,Nicolas Batum,8.1,4.7,2.2,1.0,0.6,0.8,0.464,0.404,32.0,SF,38.0,14.0,2.1,1.9,0.132,"3,052,056"
3294,JaMychal Green,8.1,4.8,0.9,0.4,0.4,0.9,0.463,0.399,30.0,PF,5.0,8.0,-1.5,0.1,0.11,"8,567,714"
3295,Hassan Whiteside,8.1,6.0,0.6,0.3,1.3,1.1,0.563,0.0,31.0,C,4.0,12.0,-2.2,0.0,0.081,"2,760,852"
3296,Mo Bamba,8.0,5.8,0.8,0.3,1.3,0.8,0.472,0.322,22.0,C,5.0,4.0,0.1,0.4,0.117,"7,103,157"
3297,Tyrese Maxey,8.0,1.7,2.0,0.4,0.2,0.7,0.462,0.301,20.0,SG,8.0,2.0,-1.5,0.1,0.099,"2,949,819"
3298,Kenrich Williams,8.0,4.1,2.3,0.8,0.3,1.2,0.533,0.444,26.0,PF,13.0,4.0,-0.7,0.4,0.096,"2,380,000"
3299,Robert Williams,8.0,6.9,1.8,0.8,1.8,1.0,0.721,0.0,23.0,C,13.0,4.0,6.0,2.0,0.258,"2,415,604"
3300,Austin Rivers,7.9,2.3,2.3,0.8,0.1,1.0,0.424,0.369,28.0,SG,7.0,10.0,-1.9,0.0,0.072,"4,165,000"
3301,Austin Rivers,7.9,2.3,2.3,0.8,0.1,1.0,0.424,0.369,28.0,SG,7.0,10.0,-1.9,0.0,0.072,"510,568"
3302,Isaiah Stewart,7.9,6.7,0.9,0.6,1.3,1.0,0.553,0.333,19.0,C,14.0,2.0,-1.1,0.3,0.132,"3,714,085"
3303,Willy Hernangómez,7.8,7.1,1.1,0.5,0.5,0.7,0.563,0.1,26.0,C,12.0,6.0,0.0,0.4,0.163,"2,067,202"
3304,Chuma Okeke,7.8,4.0,2.2,1.1,0.5,0.8,0.417,0.348,22.0,PF,19.0,2.0,-1.5,0.1,0.056,"3,714,085"
3305,Anfernee Simons,7.8,2.2,1.4,0.3,0.1,0.7,0.419,0.426,21.0,SG,0.0,4.0,-1.0,0.3,0.078,"2,679,927"
3306,D.J. Augustin,7.7,1.6,3.3,0.5,0.0,1.1,0.394,0.382,33.0,PG,12.0,14.0,-2.1,0.0,0.088,"7,933,333"
3307,Ben McLemore,7.7,1.9,0.7,0.4,0.2,0.8,0.37,0.346,27.0,SG,5.0,9.0,-3.9,-0.4,0.013,"2,716,810"
3308,Ben McLemore,7.7,1.9,0.7,0.4,0.2,0.8,0.37,0.346,27.0,SG,5.0,9.0,-3.9,-0.4,0.013,"726,609"
3309,PJ Dozier,7.7,3.6,1.8,0.6,0.4,0.9,0.417,0.315,24.0,SG,6.0,5.0,-2.6,-0.2,0.051,"2,097,727"
3310,Mike James,7.7,2.5,4.2,0.5,0.1,1.5,0.37,0.355,30.0,PG,1.0,21.0,-4.4,-0.1,0.028,"282,801"
3311,Naji Marshall,7.7,4.6,2.8,0.8,0.3,1.2,0.392,0.349,23.0,SF,10.0,2.0,-1.3,0.1,0.061,"640,685"
3312,Payton Pritchard,7.7,2.4,1.8,0.6,0.1,0.8,0.44,0.411,23.0,SG,4.0,2.0,-0.7,0.4,0.095,"2,422,602"
3313,Tomáš Satoranský,7.7,2.4,4.7,0.7,0.2,1.7,0.514,0.356,29.0,SG,18.0,6.0,-0.5,0.5,0.113,"11,900,000"
3314,Isaiah Thomas,7.7,1.3,1.7,0.3,0.0,2.0,0.333,0.25,31.0,PG,0.0,11.0,-13.1,-0.1,-0.179,"190,040"
3315,Steven Adams,7.6,8.9,1.9,0.9,0.7,1.3,0.614,0.0,27.0,C,58.0,9.0,-0.3,0.7,0.119,"35,215,307"
3316,Garrett Temple,7.6,2.9,2.2,0.8,0.5,1.0,0.415,0.335,34.0,SG,25.0,13.0,-3.0,-0.4,0.05,"5,672,730"
3317,Tristan Thompson,7.6,8.1,1.2,0.4,0.6,1.1,0.518,0.0,29.0,C,43.0,11.0,-2.5,-0.2,0.107,"11,017,020"
